Tipo di attività,Data,Preferita,Titolo,Distanza,Calorie,Tempo,FC Media,FC max,TE aerobico,Cadenza di corsa media,Cadenza di corsa max,Passo medio,Passo migliore,Ascesa totale,Discesa totale,Lunghezza media passo,GAP medio,Normalized Power® (NP®),Training Stress Score®,Potenza media,Potenza max,Passi,Decompressione,Tempo Lap migliore,Numero di Lap,Tempo in movimento,Tempo trascorso,Quota minima,Quota massima
Corsa,2025-08-03 19:59:55,false,"Castellammare di Stabia - Base","6.16","457","00:45:05","151","181","3.1","157","171","7:19","5:42","6","5","0.88","7:11","238","0.0","227","315","7,188","No","00:00:05.2","8","00:44:47","00:45:05","8","12"
Corsa,2025-07-31 20:03:33,false,"Castellammare di Stabia - Recupero","2.71","177","00:22:09","132","148","1.8","150","210","8:11","5:22","10","3","0.81","7:59","226","0.0","209","337","3,436","No","00:00:08.8","4","00:21:57","00:22:09","7","17"
Corsa,2025-07-30 19:15:16,false,"Castellammare di Stabia - Soglia","3.65","268","00:25:18","148","169","2.8","157","172","6:55","5:01","7","9","0.92","6:58","257","0.0","243","365","4,032","No","00:00:17.6","6","00:25:11","00:25:18","4","8"
Corsa,2025-07-29 11:57:17,false,"Castellammare di Stabia - Base","4.46","346","00:30:55","149","179","3.2","157","173","6:56","6:05","25","9","0.92","13:06","247","0.0","238","286","4,930","No","00:00:54.6","6","00:30:09","00:30:55","-20","2"
Corsa,2025-07-28 19:29:54,false,"Castellammare di Stabia - Base","3.62","261","00:25:51","140","160","2.6","164","171","7:09","6:00","13","16","0.85","6:43","236","0.0","233","315","4,238","No","00:03:57.9","4","00:25:50","00:25:51","-1","8"
Corsa,2025-07-23 10:41:46,false,"Castellammare di Stabia Corsa","2.00","147","00:14:39","142","180","2.3","146","179","7:18","4:20","5","9","0.94","10:31","240","0.0","210","407","2,266","No","00:00:01.9","3","00:14:23","00:15:27","6","12"
Corsa,2025-07-21 18:47:24,false,"Corsa","0.80","47","00:04:27.1","139","150","1.4","169","176","5:36","3:56","1","2","1.05","--","304","0.0","303","445","746","No","00:04:27.1","1","00:04:24","00:04:27.1","5","8"
Corsa,2025-07-19 19:40:41,false,"Castellammare di Stabia - Base","3.18","233","00:23:31","149","169","2.4","157","187","7:24","3:31","5","2","0.86","7:15","241","0.0","231","499","3,722","No","00:00:55.5","4","00:22:41","00:24:33","7","11"
Corsa,2025-07-16 19:06:00,false,"Castellammare di Stabia - Soglia","2.49","178","00:18:35","148","168","2.1","161","168","7:28","6:33","9","11","0.83","7:30","235","0.0","231","327","2,998","No","00:00:02.2","6","00:18:23","00:20:30","13","21"
Corsa,2025-07-15 19:17:38,false,"Castellammare di Stabia - Soglia","3.70","260","00:26:21","142","170","2.4","160","168","7:07","6:16","6","9","0.88","7:12","244","0.0","239","284","4,230","No","00:02:31.1","5","00:26:11","00:33:21","15","21"
Corsa,2025-07-14 19:22:25,false,"Castellammare di Stabia - Soglia","3.38","253","00:23:44","148","175","2.8","158","170","7:02","5:40","5","10","0.90","7:03","256","0.0","241","313","3,802","No","00:00:31.6","5","00:23:18","00:23:44","10","20"
Corsa,2025-07-10 10:10:09,false,"Castellammare di Stabia Corsa","4.01","290","00:28:22","144","161","2.7","158","169","7:05","5:56","--","15","0.89","7:06","252","0.0","241","309","4,562","No","00:00:05.4","5","00:28:07","00:28:22","8","24"
Corsa,2025-07-09 10:34:11,false,"Castellammare di Stabia - Soglia","3.51","258","00:25:09","143","171","2.6","157","168","7:10","5:45","2","9","0.89","7:14","245","0.0","236","305","4,000","No","00:00:04.0","6","00:24:38","00:27:47","3","13"
Corsa,2025-07-08 11:26:47,false,"Castellammare di Stabia Corsa","1.00","75","00:06:39.9","142","175","2.0","152","178","6:38","4:51","2","8","0.99","6:33","284","0.0","252","381","1,022","No","00:00:03.3","2","00:06:28","00:06:39.9","8","14"
Corsa,2025-07-08 10:55:25,false,"Castellammare di Stabia Corsa","2.18","157","00:15:21","140","171","2.2","159","183","7:03","4:00","7","9","0.89","7:03","258","0.0","244","515","2,450","No","00:01:05.4","3","00:15:06","00:17:42","0","9"
